Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1655.56,1601.75,-53.81,4816.42,4451.94,-364.48,4146.24,4455.87,309.63,5763.12,5851.33,88.21,434.07,379.34,-54.73,179.48,177.61,-1.87,622.10,628.51,6.42,49.24,108.80,59.56,8.86,3.98,-4.88,76.00,49.95
01-May-21,1916.03,1563.24,-352.79,3956.32,4164.24,207.92,4959.15,4704.38,-254.76,5818.20,6129.95,311.76,435.82,396.25,-39.57,180.69,175.44,-5.25,630.32,625.92,-4.41,49.24,-13.44,-62.68,8.86,4.05,-4.81,77.00,49.95
01-May-21,1891.44,1375.10,-516.34,4050.66,4006.54,-44.12,5024.58,4871.79,-152.79,5844.44,6320.44,475.99,444.27,416.20,-28.07,180.68,180.62,-0.06,644.77,623.20,-21.58,49.24,52.00,2.76,8.86,4.03,-4.83,78.00,49.92
01-May-21,1851.50,1215.43,-636.07,4054.62,4020.88,-33.74,5527.16,5068.89,-458.26,5839.36,6406.86,567.50,443.47,423.90,-19.57,198.46,179.24,-19.22,625.53,626.55,1.02,49.24,69.44,20.20,8.87,4.02,-4.85,79.00,49.93
01-May-21,1821.47,1185.56,-635.92,3959.32,3964.05,4.73,5527.67,5151.20,-376.47,5852.66,5870.13,17.48,443.80,425.23,-18.57,180.68,175.64,-5.04,625.50,624.90,-0.60,49.24,-69.92,-119.16,8.86,4.06,-4.80,80.00,49.99
01-May-21,1611.05,1133.42,-477.63,3958.35,3927.06,-31.30,5211.39,5083.33,-128.06,5726.78,5465.67,-261.10,438.27,428.63,-9.64,180.45,172.65,-7.80,605.76,624.13,18.38,49.24,62.08,12.84,8.86,4.05,-4.82,81.00,50.02
01-May-21,1611.09,1192.29,-418.80,3953.00,4034.98,81.98,5067.97,5030.63,-37.34,5731.90,5415.72,-316.18,429.22,425.79,-3.44,180.46,175.38,-5.08,625.10,625.14,0.04,49.24,87.04,37.80,8.87,4.07,-4.80,82.00,49.98
01-May-21,1336.72,1263.29,-73.43,4385.09,4178.56,-206.53,4967.93,5049.53,81.60,5936.11,5124.90,-811.22,429.23,423.32,-5.90,180.47,179.80,-0.67,615.48,626.08,10.60,49.24,4.48,-44.76,8.87,4.02,-4.85,83.00,49.97
01-May-21,1356.73,1301.90,-54.82,4139.05,4068.38,-70.68,4984.25,4973.42,-10.83,5894.91,5290.93,-603.98,425.35,420.30,-5.05,198.23,178.51,-19.72,634.76,625.91,-8.86,49.24,54.08,4.84,8.87,4.04,-4.84,84.00,49.90
01-May-21,1270.17,1360.69,90.52,3944.80,3861.89,-82.90,4992.71,4961.72,-30.99,5806.41,5400.26,-406.15,432.29,412.76,-19.53,188.86,180.47,-8.40,615.45,627.47,12.02,49.24,18.08,-31.16,8.87,4.03,-4.84,85.00,49.95
